venta_id,ticket_id,fecha,tienda_id,product_id,cantidad,precio_unitario
V000001,T000001,2025-03-01,CUN,P061,1,165.0
V000002,T000002,2025-03-01,CUN,P024,3,6.0
V000003,T000003,2025-03-01,CUN,P021,1,85.0
V000004,T000004,2025-03-01,CUN,P020,2,55.0
V000005,T000004,2025-03-01,CUN,P023,1,40.0
V000006,T000006,2025-03-01,CUN,P063,3,45.0
V000007,T000006,2025-03-01,CUN,P060,2,850.0
V000008,T000006,2025-03-01,CUN,P044,1,22.0
V000009,T000009,2025-03-01,CUN,P041,2,35.0
V000010,T000009,2025-03-01,CUN,P043,1,18.0
V000011,T000011,2025-03-01,CUN,P043,2,18.0
V000012,T000012,2025-03-01,CUN,P005,1,65.0
V000013,T000012,2025-03-01,CUN,P004,1,6.0
V000014,T000014,2025-03-01,CUN,P103,2,120.0
V000015,T000015,2025-03-01,CUN,P064,2,38.0
V000016,T000015,2025-03-01,CUN,P061,2,165.0
V000017,T000017,2025-03-01,CUN,P100,1,1250.0
V000018,T000017,2025-03-01,CUN,P102,3,45.0
V000019,T000019,2025-03-01,CUN,P083,1,65.0
V000020,T000020,2025-03-01,CUN,P028,2,180.0
V000021,T000020,2025-03-01,CUN,P030,1,180.0
V000022,T000022,2025-03-01,CUN,P086,1,650.0
V000023,T000022,2025-03-01,CUN,P044,2,22.0
V000024,T000024,2025-03-01,CUN,P080,2,280.0
V000025,T000024,2025-03-01,CUN,P048,1,180.0
V000026,T000026,2025-03-01,CUN,P022,2,150.0
V000027,T000026,2025-03-01,CUN,P023,1,40.0
V000028,T000028,2025-03-01,CUN,P047,1,95.0
V000029,T000028,2025-03-01,CUN,P103,1,120.0
V000030,T000030,2025-03-01,MID,P021,1,85.0
V000031,T000030,2025-03-01,MID,P023,2,40.0
V000032,T000030,2025-03-01,MID,P042,1,28.0
V000033,T000033,2025-03-01,MID,P100,1,1250.0
V000034,T000033,2025-03-01,MID,P101,1,35.0
V000035,T000035,2025-03-01,MID,P065,2,30.0
V000036,T000035,2025-03-01,MID,P022,3,150.0
V000037,T000037,2025-03-01,MID,P085,3,980.0
V000038,T000037,2025-03-01,MID,P107,1,165.0
V000039,T000039,2025-03-01,MID,P060,1,850.0
V000040,T000039,2025-03-01,MID,P022,1,150.0
V000041,T000041,2025-03-01,MID,P100,1,1250.0
V000042,T000041,2025-03-01,MID,P102,3,45.0
V000043,T000041,2025-03-01,MID,P022,3,150.0
V000044,T000044,2025-03-01,MID,P021,1,85.0
V000045,T000044,2025-03-01,MID,P023,1,40.0
V000046,T000046,2025-03-01,MID,P024,1,6.0
V000047,T000047,2025-03-01,CHI,P100,2,1250.0
V000048,T000047,2025-03-01,CHI,P101,1,35.0
V000049,T000047,2025-03-01,CHI,P040,1,1450.0
V000050,T000050,2025-03-01,CHI,P064,3,38.0
V000051,T000050,2025-03-01,CHI,P061,1,165.0
V000052,T000050,2025-03-01,CHI,P029,3,95.0
V000053,T000053,2025-03-01,CHI,P081,1,65.0
V000054,T000053,2025-03-01,CHI,P028,1,180.0
V000055,T000055,2025-03-01,CHI,P041,1,35.0
V000056,T000055,2025-03-01,CHI,P043,2,18.0
V000057,T000057,2025-03-01,CHI,P100,2,1250.0
V000058,T000057,2025-03-01,CHI,P101,2,35.0
V000059,T000057,2025-03-01,CHI,P103,1,120.0
V000060,T000060,2025-03-01,CHI,P100,1,1250.0
V000061,T000060,2025-03-01,CHI,P102,1,45.0
V000062,T000062,2025-03-01,CHI,P100,1,1250.0
V000063,T000062,2025-03-01,CHI,P101,1,35.0
V000064,T000064,2025-03-01,CHI,P082,2,25.0
V000065,T000065,2025-03-01,CHI,P100,2,1250.0
V000066,T000065,2025-03-01,CHI,P102,1,45.0
V000067,T000067,2025-03-01,CHI,P041,2,35.0
V000068,T000067,2025-03-01,CHI,P043,3,18.0
V000069,T000069,2025-03-01,CHI,P100,2,1250.0
V000070,T000069,2025-03-01,CHI,P004,2,6.0
V000071,T000071,2025-03-01,CHI,P060,1,850.0
V000072,T000071,2025-03-01,CHI,P106,1,55.0
V000073,T000073,2025-03-01,CHI,P021,1,85.0
V000074,T000073,2025-03-01,CHI,P023,2,40.0
V000075,T000075,2025-03-01,CHI,P041,1,35.0
V000076,T000075,2025-03-01,CHI,P043,2,18.0
V000077,T000077,2025-03-01,CHI,P100,3,1250.0
V000078,T000077,2025-03-01,CHI,P102,3,45.0
V000079,T000077,2025-03-01,CHI,P021,1,85.0
V000080,T000080,2025-03-01,CHI,P064,2,38.0
V000081,T000080,2025-03-01,CHI,P061,1,165.0
V000082,T000082,2025-03-01,CDMX,P005,2,65.0
